,review_id,,
22616,X4DlFfTEc7A-JT5vX6CN-A,manual_train,Turab
39828,wTo4ElBXdkD0xICdhQdT-g,manual_train,Tom
24437,ZnASpgOvUsX5uAfyKpmyBQ,manual_train,Vi
15645,MUHOvN5PplMQOphJWEPF4Q,manual_train,Sirui
3844,4nOVPn7sQaUV3mpNRVLZHA,manual_train,Turab
16808,OG-V-hljRxnYgMUdbQ42yw,manual_train,Tom
15370,M37K8FxBnQGzu9_Kh7UylA,manual_train,Vi
15440,M9XlAkwCtm-3RPlahDrpCA,manual_train,Sirui
20189,TM6plogQoegVNXqngy01Pg,manual_train,Turab
41078,yLcZZaSCQtqhp7EKDDrfvA,manual_train,Tom
40313,xDonkuGSotqfMsiYVDcm-w,manual_train,Vi
17423,PCs9PPQGELGhF9FqBWxGDA,manual_train,Sirui
40636,xiDyFJKAqWr-NBvDQeg-WA,manual_train,Turab
34347,nxdmy2oDALXPapuYnVVJLQ,manual_train,Tom
2351,2WIuCp3PpeKHlRd1qoCTAA,manual_train,Vi
38200,tu_0DT37Fovc0W-peOU0LQ,manual_train,Sirui
3591,4QABBXPxnvjePnHnryhcuw,manual_train,Turab
35597,ppa7rCorDYnj6IyhQZmdpg,manual_train,Tom
28329,enJjffSkUWP9LgfnCril0A,manual_train,Vi
23387,YEiao4KlM8hhCetcKC-5wQ,manual_train,Sirui
10311,EVnw8mvDFHVimsAuZE2Nag,manual_train,Turab
24765,_JWaRCnnlVJcfbg5k8buOw,manual_train,Tom
2768,37sR3U1oHJOt5h-fR5E4Jw,manual_train,Vi
22592,X1xzKnDxH41EgQR_tjHkSg,manual_train,Sirui
32474,l454Ol0lVyVcOpZPEy-wgw,manual_train,Turab
29857,h5Pm74qs2SJsjGaxIplsxQ,manual_train,Tom
31281,jJ9ca6Uat1k60F8v9rMMQA,manual_train,Vi
38984,v8gbV_AhaJnH3-YN_cmJ9Q,manual_train,Sirui
18630,QwNeCxFuO5VOwk6TtlRJMg,manual_train,Turab
19391,S7gWJdPwyZ5kqSHIoBh7Fg,manual_train,Tom
25954,b9KUO5Mga7k8wAn0iNpyew,manual_train,Vi
9984,E1HQ2npJga6sMqdlrVxeDQ,manual_train,Sirui
8421,Bg9AiZhlvRRMwEtwNuHyig,manual_train,Turab
37369,scp_n42PWt3LNrQEr1NptQ,manual_train,Tom
39024,vC3Blvr3grU0MhW07FnYBA,manual_train,Vi
27095,ctEnsqsh3Vx-YJVJWS8CJw,manual_train,Sirui
11292,G1xdCr_9Jc-vs1ow9eLBug,manual_train,Turab
