,Unnamed: 0,review_id,business_id,user_id,stars,blob_polarity,review,label,stem_review,complaint,compliments,suggestion for user,suggestion for business
0,287001,v1VhJ8xYulv-dhaHwXmuPw,ENez40nj7Ze77A05bvWxCQ,ckNi88QZoXRfgl9nSdXtbA,5,0.0,need something? turns out the mailman saw the letter in my hand and just wanted to save me the trip to mail it,,need something? turn out the mailman saw the letter in my hand and just want to save me the trip to mail it,0,1,0,0
1,287002,v1VhJ8xYulv-dhaHwXmuPw,ENez40nj7Ze77A05bvWxCQ,ckNi88QZoXRfgl9nSdXtbA,5,0.5166666670000001,as i gave it to him i noticed his smile and pleasant demeaner,,as i gave it to him i notic hi smile and pleasant demean,0,1,0,0
2,287003,v1VhJ8xYulv-dhaHwXmuPw,ENez40nj7Ze77A05bvWxCQ,ckNi88QZoXRfgl9nSdXtbA,5,1.0,i want to thank orlando for his kindness and excellent service,,i want to thank orlando for hi kind and excel servic,0,1,0,0
3,287004,v1VhJ8xYulv-dhaHwXmuPw,ENez40nj7Ze77A05bvWxCQ,ckNi88QZoXRfgl9nSdXtbA,5,0.3,i know you will be and already are a success,,i know you will be and alreadi are a success,0,1,0,0
4,287005,xBJ-ZU1zArbImKm6GtKmDQ,ENez40nj7Ze77A05bvWxCQ,#NAME?,1,-1.0,worst telephone service line ever!  i called 480-483-1229 five times over a two day period and never once did they answer,,worst telephon servic line ever!  i call 480-483-1229 five time over a two day period and never onc did they answer,1,0,0,0
5,287006,xBJ-ZU1zArbImKm6GtKmDQ,ENez40nj7Ze77A05bvWxCQ,#NAME?,1,-0.32,"it kept ringing for 1:30, then it went to the fax number -- that annoying high pitched tone",,"it kept ring for 1:30, then it went to the fax number -- that annoy high pitch tone",1,0,0,0
6,287007,xBJ-ZU1zArbImKm6GtKmDQ,ENez40nj7Ze77A05bvWxCQ,#NAME?,1,0.0,"on the third day, someone finally answered, then put me on hold immediately for 13 minutes",,"on the third day, someon final answered, then put me on hold immedi for 13 minut",1,0,0,0
7,287008,xBJ-ZU1zArbImKm6GtKmDQ,ENez40nj7Ze77A05bvWxCQ,#NAME?,1,0.0,so i finally hung up,,so i final hung up,1,0,0,0
8,287009,xBJ-ZU1zArbImKm6GtKmDQ,ENez40nj7Ze77A05bvWxCQ,#NAME?,1,0.13636363599999998,"oh, by the way, the reason for my call was because they forwarded a package from their scottsdale office to kentucky instead of to my new address (on file with them) in phoenix",,"oh, by the way, the reason for my call wa becaus they forward a packag from their scottsdal offic to kentucki instead of to my new address (on file with them) in phoenix",0,0,0,0
9,287010,QkrSTAdYVD5E7-xtklbZEw,ENez40nj7Ze77A05bvWxCQ,9YPkhJA2qLoL4G8CljEvtA,5,0.35416666700000005,super friendly service,,super friendli servic,0,1,0,0
